Headword,Definition,"Part of Speech","Semantic Group","Frequency Rank"
"dōnō -āre","hediye sunmak (+ acc. kişiye ve abl. bir şeye)","Fiil: 1. Çekim Grubu","Sosyal Yaşam",606
"dōnum -ī n.","hediye, armağan","İsim: 2. Çekim Grubu","Sosyal Yaşam",476
"dormiō -īre",uyumak,"Fiil: 4. Çekim Grubu","Yaşam ve Varlık",975
"dubitō -āre","tereddüt etmek, şüphelenmek","Fiil: 1. Çekim Grubu","Eğitim / Bilgi",521
"dubius -a -um","şüpheli; (nesne) bir şüphe; sine dubiō, şüphesiz, kesinlikle","Sıfat: 1. ve 2. Çekim Grubu",Kandırma,528
"dūcō dūcere dūxī ductum","kılavuzluk etmek; uxōrem dūcere, evlenmek","Fiil: 3. Çekim Grubu, -ō bitimli","Teşvik Edici / Emredici Fiiller",133
"dulcis -e",tatlı,"Sıfat: 3. Çekim Grubu","Diğer Duyular",383
dum,"iken (+ indic.); değin (+ subj.); gerçi (+ subj.)",Bağlaç,Zaman,103
"duo duae duo",iki,"Sıfat: Sayı",Ölçüm,221
"dūrus -a -um","katı, kaba, sert","Sıfat: 1. ve 2. Çekim Grubu","Diğer Duyular",249
"dux ducis m./f.","lider, general","İsim: 3. Çekim Grubu","Savaş ve Barış",239
ecce,işte!,Zarf,"Görü / Görüntü",643
"ēdīcō -dīcere -dīxī -dictum","beyan etmek","Fiil: 3. Çekim Grubu, -ō bitimli","Konuşma / Retorik",996
"ēdō ēdere ēdidī ēditum","dışarı vermek, bildirmek, nakletmek","Fiil: 3. Çekim Grubu, -ō bitimli","Konuşma / Retorik",688
"ēdūcō -dūcere -dūxī -ductum","dışarıya götürmek","Fiil: 3. Çekim Grubu, -ō bitimli","Teşvik Edici / Emredici Fiiller",935
"efficiō -ficere -fēcī -fectum","yerine getirmek, tamamlamak; ispat etmek (+ ut + subj.)","Fiil: 3. Çekim Grubu, -iō bitimli","Yapma / Etme",573
"effundō -fundere -fūdī -fūsum",dökmek,"Fiil: 3. Çekim Grubu, -ō bitimli","Toprak ve Su",719
"ego meī mihi mē",ben,Zamir,"Zamir / Soru Zamiri",11
"ēgredior ēgredī ēgressus sum","çıkmak, yerinden çıkmak, -den ayrılmak (+ abl.)","Fiil: Deponens [etken anlamlı edilgen yapılı]",Seyahat,912
"ēgregius -a -um","müstesna, alışılmadık","Sıfat: 1. ve 2. Çekim Grubu","Kişisel Özellikler / Nitelikler",860
"ēligō ēligere ēlēgī ēlēctum","seçmek, ayırmak","Fiil: 3. Çekim Grubu, -ō bitimli",Kent,942
enim,"zira, gerçekten",Bağlaç,"Zamir / Soru Zamiri",57
"eō īre iī/īvī itum",gitmek,"Fiil: Düzensiz",Hareket,97
eō,"(zarf) orada, oraya",Zarf,Yer,470
"epistula -ae f.",mektup,"İsim: 1. Çekim Grubu","Yazı / Şiir",951
"eques equitis m.","atlı, süvari askeri","İsim: 3. Çekim Grubu","Savaş ve Barış",296
"equus -ī m.",at,"İsim: 2. Çekim Grubu","Hayvanlar / Bitkiler",248
ergō,böylece,Bağlaç,"Bağlaç / Zarf",134
"ēripiō -ripere -ripuī -reptum","yırtmak, azad etmek, kurtarmak","Fiil: 3. Çekim Grubu, -iō bitimli","Getir - Götür Fiilleri",349
"errō -āre","yoldan çıkmak, hata yapmak","Fiil: 1. Çekim Grubu",Seyahat,402
"error -ōris m.","alelade dolaşma; kuşku, hata","İsim: 3. Çekim Grubu",Seyahat,832
et,ve,Bağlaç,"Bağlaç / Zarf",1
etiam,"ayrıca, hatta",Zarf,"Bağlaç / Zarf",67
"ex, ē","dışından, -den/-dan (+ abl.)",Edat,Yer,26
"excipiō -cipere -cēpī -ceptum",çıkarmak,"Fiil: 3. Çekim Grubu, -iō bitimli","Getir - Götür Fiilleri",394
"exemplum -ī n.","nüsha, örnek, emsal","İsim: 2. Çekim Grubu","Konuşma / Retorik",519
"exeō -īre -iī -itum","dışarı çıkmak","Fiil: Düzensiz",Hareket,597
"exerceō -ercēre -ercuī -ercitum","denetlemek, talim etmek, işlemek","Fiil: 2. Çekim Grubu",Atletizm,576
"exercitus -ūs m.",ordu,"İsim: 4. Çekim Grubu","Savaş ve Barış",267
"exigō -igere -ēgī -āctum","defetmek; tahsil etmek","Fiil: 3. Çekim Grubu, -ō bitimli","Teşvik Edici / Emredici Fiiller",500
"exīstimō -āre","kanaatinde olmak, farzetmek","Fiil: 1. Çekim Grubu","Eğitim / Bilgi",613
"experior -perīrī -pertus sum","sınamak, tecrübe etmek, görüp geçirmek","Fiil: Deponens [etken anlamlı edilgen yapılı]","Eğitim / Bilgi",713
"exsilium -ī n.","sürgün, sürgün cezası","İsim: 2. Çekim Grubu",Seyahat,794
"exspectō -āre","gözlemek, beklemek, ummak","Fiil: 1. Çekim Grubu","Görü / Görüntü",442
"extrēmus -a -um","en uzaktaki, sonunda veya ucunda bulunan, en uç","Sıfat: 1. ve 2. Çekim Grubu",Coğrafya,385
"fābula -ae f.","söylem, mesel, hikaye","İsim: 1. Çekim Grubu","Yazı / Şiir",966
"faciēs -ēī f.","biçim, görünüş","İsim: 5. Çekim Grubu","Görü / Görüntü",479
"facilis -e",kolay,"Sıfat: 3. Çekim Grubu","Kişisel Özellikler / Nitelikler",451
"facinus facinoris n.","eylem, suç","İsim: 3. Çekim Grubu",Adalet,646
"faciō facere fēcī factum","yapmak, etmek","Fiil: 3. Çekim Grubu, -iō bitimli","Yapma / Etme",32
"factum -ī n.","uğraş, icraat","İsim: 2. Çekim Grubu","Yapma / Etme",611
"fallō fallere fefellī falsum",aldatmak,"Fiil: 3. Çekim Grubu, -ō bitimli",Kandırma,503
"falsus -a -um","aldatıcı, yanlış","Sıfat: 1. ve 2. Çekim Grubu",Kandırma,633
"fāma -ae f.","söylenti, ün","İsim: 1. Çekim Grubu","Konuşma / Retorik",278
"famēs -is f.","açlık, kıtlık","İsim: 3. Çekim Grubu","Yaşam ve Varlık",828
"familia -ae f.","hane, aile","İsim: 1. Çekim Grubu",Hane,943
"fateor fatērī fassus sum","kabul etmek, itiraf etmek; ileri sürmek, ilan etmek; muvafakat etmek","Fiil: Deponens [etken anlamlı edilgen yapılı]",Adalet,689
"fātum -ī n.","yazgı; ölüm","İsim: 2. Çekim Grubu",Din,157
"fax facis f.",meşale,"İsim: 3. Çekim Grubu","Hava ve Ateş",511
fēlīciter,"uğurlu bir şekilde",Zarf,"Kişisel Özellikler / Nitelikler",994
"fēlīx -īcis",uğurlu,"Sıfat: 3. Çekim Grubu","Kişisel Özellikler / Nitelikler",309
"fēmina -ae f.",kadın,"İsim: 1. Çekim Grubu",İnsanlar,501
ferē,neredeyse,Zarf,"Bağlaç / Zarf",907
"ferō ferre tulī lātum","taşımak, çekmek, katlanmak","Fiil: Düzensiz","Getir - Götür Fiilleri",45
"ferrum -ī n.","demir, demir kılıç veya ekipman","İsim: 2. Çekim Grubu",Şiddet,231
"ferus -a -um","yabanıl, vahşi; fera -ae f.: vahşi hayvan","Sıfat: 1. ve 2. Çekim Grubu","Hayvanlar / Bitkiler",222
"fessus -a -um","bezgin, yorgun","Sıfat: 1. ve 2. Çekim Grubu","Yaşam ve Varlık",625
"fidēlis -e",sadık,"Sıfat: 3. Çekim Grubu","Kişisel Özellikler / Nitelikler",979
"fidēs -eī f.","güven, sadakat","İsim: 5. Çekim Grubu","Kişisel Özellikler / Nitelikler",184
"fīlia -ae f.; fīlius -ī m.","kız evlat; erkek evlat","İsim: 1. Çekim Grubu",Hane,909
"fingō fingere fīnxī fīctum","şekil vermek; oluşturmak","Fiil: 3. Çekim Grubu, -ō bitimli","Yapma / Etme",721
"fīnis -is m.","son, sınır","İsim: 3. Çekim Grubu",Coğrafya,236
"fīō fierī factus sum","olmak, zuhur etmek, vuku bulmak","Fiil: Düzensiz","Yaşam ve Varlık",146
"flamma -ae f.","alev, ateş","İsim: 1. Çekim Grubu","Hava ve Ateş",298
"fleō flēre flēvī flētum",ağlamak,"Fiil: 2. Çekim Grubu",Duygular,457
"flōs flōris m.","çiçek, rayiha","İsim: 3. Çekim Grubu","Hayvanlar / Bitkiler",818
"fluctus -ūs m","dalga, taşkın, kargaşalık","İsim: 4. Çekim Grubu","Toprak ve Su",498
"flūmen -inis n.","akarsu, ırmak","İsim: 3. Çekim Grubu","Toprak ve Su",283
"fluō fluere fluxī fluxum",akmak,"Fiil: 3. Çekim Grubu, -ō bitimli","Toprak ve Su",772
"foedus -a -um",iğrenç,"Sıfat: 1. ve 2. Çekim Grubu","Diğer Duyular",922
"fōns fontis m.","pınar, kaynak","İsim: 3. Çekim Grubu","Toprak ve Su",706
"for fārī fātus sum","konuşmak, söylemek","Fiil: Deponens [etken anlamlı edilgen yapılı]","Konuşma / Retorik",739
"fōrma -ae f.","form; güzellik","İsim: 1. Çekim Grubu","Diğer Duyular",422
"fors fortis f.",şans,"İsim: 3. Çekim Grubu",Din,993
"forsitan, fortasse","belki, behemehal",Zarf,"Bağlaç / Zarf",833
fortē,"şans eseri",Zarf,Din,579
"fortis -e",cesur,"Sıfat: 3. Çekim Grubu","Kişisel Özellikler / Nitelikler",286
"fortūna -ae f.",talih,"İsim: 1. Çekim Grubu",Din,138
"forum -ī n.","çarşı, forum","İsim: 2. Çekim Grubu",Kent,811
"frangō frangere frēgī frāctum","kırmak, parçalamak","Fiil: 3. Çekim Grubu, -ō bitimli",Şiddet,345
"frāter frātris m.","erkek kardeş","İsim: 3. Çekim Grubu",Hane,225
"frequēns -ntis","kalabalık, yoğun nüfus","Sıfat: 3. Çekim Grubu",Ölçüm,918
"frōns frontis f.","alın, kaş; ön yüz","İsim: 3. Çekim Grubu",Beden,559
"frūctus -ūs m.","meyve, ürün; zevk, kazanç","İsim: 4. Çekim Grubu","Hayvanlar / Bitkiler",927
"frūmentum -ī n.",ekin,"İsim: 2. Çekim Grubu","Hayvanlar / Bitkiler",936
"fruor fruī frūctus sum","yarar sağlamak, -den zevk almak, faydalanmak (+abl.)","Fiil: Deponens [etken anlamlı edilgen yapılı]",Duygular,923
frūstrā,beyhude,Zarf,"Bağlaç / Zarf",694
"fuga -ae f.","kaçış, sürgün","İsim: 1. Çekim Grubu",Seyahat,364
"fugiō fugere fūgī fugitum","kaçmak, firar etmek","Fiil: 3. Çekim Grubu, -iō bitimli",Seyahat,177
"fugō -āre","sürgüne gitmek","Fiil: 1. Çekim Grubu",Seyahat,957
"fundō fundere fūdī fūsum","dökmek, saçmak","Fiil: 3. Çekim Grubu, -ō bitimli","Toprak ve Su",523
"fūnus fūneris n.","cenaze töreni; ölüm; naaş","İsim: 3. Çekim Grubu",Din,524
"furor -ōris m.","cinnet, delilik","İsim: 3. Çekim Grubu",Duygular,466
fore,"olacak olmak (fut. inf.: sum)","Fiil: Düzensiz","Yaşam ve Varlık",985
"gaudeō gaudēre gāvīsus sum",sevinmek,"Fiil: 2. Çekim Grubu",Duygular,407
"gaudium -ī n.","sevinç, neşe, zevk","İsim: 2. Çekim Grubu",Duygular,727
"gēns gentis f.","aile, kabile","İsim: 3. Çekim Grubu",Hane,194
"genus generis n.","köken, nesil, tür","İsim: 3. Çekim Grubu",Hane,170
"gerō gerere gessī gestum","taşımak, yönetmek; bellum gerere, savaşmak","Fiil: 3. Çekim Grubu, -ō bitimli","Savaş ve Barış",237
"gīgnō gīgnere genuī genitum","meydana getirmek, doğurmak, neden olmak","Fiil: 3. Çekim Grubu, -ō bitimli","Yaşam ve Varlık",667
"gladius -ī m.",kılıç,"İsim: 2. Çekim Grubu","Savaş ve Barış",862
"glōria -ae f.","şan, şöhret","İsim: 1. Çekim Grubu","Sosyal Yaşam",360
"gradus -ūs m.","adım, safha; derece, mevki","İsim: 4. Çekim Grubu","Savaş ve Barış",577
"grātia -ae f.","lütuf, etki, minnet","İsim: 1. Çekim Grubu","Sosyal Yaşam",380
"grātus -a -um","hoş; latif","Sıfat: 1. ve 2. Çekim Grubu","Kişisel Özellikler / Nitelikler",434
"gravis -e","ağır, ciddi","Sıfat: 3. Çekim Grubu",Ölçüm,140
"habeō habēre habuī habitum","sahip olmak, ihtiva etmek","Fiil: 2. Çekim Grubu","Diğer Duyular",39
haud,değil,Zarf,"Bağlaç / Zarf",226
"hic haec hoc","bu (adam, kadın, şey)",Zamir,"Zamir / Soru Zamiri",7
hīc,"burada; hinc: buradan",Zarf,Yer,80
"hiems hiemis f.",kış,"İsim: 3. Çekim Grubu","Zamanın Müddetleri",803
hodiē,bugün,Zarf,"Zamanın Müddetleri",981
"homō hominis m.",insanoğlu,"İsim: 3. Çekim Grubu",İnsanlar,88
"honestus -a -um",onurlu,"Sıfat: 1. ve 2. Çekim Grubu","Kişisel Özellikler / Nitelikler",580
"honor -ōris m.","onur, itibar; resmi görev, mevki","İsim: 3. Çekim Grubu",Kent,290
"hōra -ae f.",saat,"İsim: 1. Çekim Grubu","Zamanın Müddetleri",664
"hortor hortārī hortātus sum","üstelemek, teşvik etmek, zorlamak","Fiil: Deponens [etken anlamlı edilgen yapılı]","Konuşma / Retorik",887
"hospes hospitis m.","konuk, misafir; yabancı; ev sahibi","İsim: 3. Çekim Grubu","Sosyal Yaşam",873
"hostis -is m./f.","yabancı, düşman","İsim: 3. Çekim Grubu","Savaş ve Barış",93
hūc,buraya,Zarf,Yer,368
"hūmānus -a -um",insan,"Sıfat: 1. ve 2. Çekim Grubu",İnsanlar,355
"humus -ī f.","yer; humī: yerde","İsim: 2. Çekim Grubu","Toprak ve Su",740
"iaceō iacēre iacuī",yatmak,"Fiil: 2. Çekim Grubu","Ev / Hane",228
"iaciō iacere iēcī iactum","fırlatmak, atmak","Fiil: 3. Çekim Grubu, -iō bitimli",Atletizm,899
iam,"şimdi; daha şimdiden",Zarf,Zaman,34
ibi,orada,Zarf,Yer,619
"īctus -ūs m.","darbe, vuruş","İsim: 4. Çekim Grubu",Şiddet,819
"īdem eadem idem",aynı,Zamir,"Zamir / Soru Zamiri",59
ideō,"bu nedenle",Zarf,"Bağlaç / Zarf",679
igitur,"bundan dolayı",Bağlaç,"Bağlaç / Zarf",313
"ignis -is m.",ateş,"İsim: 3. Çekim Grubu","Hava ve Ateş",151
"ille illa illud","şu (adam, kadın, şey)",Zamir,"Zamir / Soru Zamiri",8
illīc,"orada, oraya; illinc: o yerden",Zarf,Yer,396
illūc,"o yere",Zarf,Yer,955
"imāgō -inis f.","tasvir, suret, görüntü","İsim: 3. Çekim Grubu","Görü / Görüntü",754
"imperātor -ōris m.",başkomutan,"İsim: 3. Çekim Grubu","Savaş ve Barış",723
"imperium -ī n.","komuta, hakimiyet","İsim: 2. Çekim Grubu","Savaş ve Barış",200
"imperō -āre","komuta etmek, hüküm sürmek","Fiil: 1. Çekim Grubu","Savaş ve Barış",602
"impetus -ūs m.",saldırı,"İsim: 4. Çekim Grubu",Şiddet,421
"impleō -ēre -plēvī -plētum","doldurmak, tamamlamak","Fiil: 2. Çekim Grubu","Toprak ve Su",671
"impōnō -ere -posuī -positum","yerleştirmek, yüklemek, dayatmak, vergi koymak","Fiil: 3. Çekim Grubu, -ō bitimli",Ölçüm,437
in,"içinde, üstünde (+ abl.); içine, üstüne (+ acc)",Edat,Yer,5
"incidō incidere incidī","içine düşmek, rastlamak; vuku bulmak","Fiil: 3. Çekim Grubu, -ō bitimli",Hareket,871
"incipiō -cipere -cēpī -ceptum",başlamak,"Fiil: 3. Çekim Grubu, -iō bitimli",Zaman,411
inde,"oradan, ondan",Zarf,Yer,328
"indicō -āre","belirtmek, işaret etmek, bilinir kılmak","Fiil: 1. Çekim Grubu","Konuşma / Retorik",980
"īnferō īnferre intulī illātum","içeri taşımak, aleyhine getirmek; bellum īnferre: -e savaş açmak","Fiil: Düzensiz","Savaş ve Barış",742
"īnferus -a -um","aşağı; īnferior: daha aşağı; īnfimus / īmus: en aşağı","Sıfat: 1. ve 2. Çekim Grubu",Coğrafya,428
"ingenium -ī n.","yaradılış, eğilim, yetenek","İsim: 2. Çekim Grubu","Eğitim / Bilgi",387
"ingēns ingentis","iri, kocaman","Sıfat: 3. Çekim Grubu",Ölçüm,202
"ingrātus -a -um:","nahoş, nankör","Sıfat: 1. ve 2. Çekim Grubu","Kişisel Özellikler / Nitelikler",592
"ingredior -gredī -gressus sum:","içeri adımlamak, girmek","Fiil: Deponens [etken anlamlı edilgen yapılı]",Hareket,885
"inimīcus -a -um:","dostça olmayan; (nesne) düşman","Sıfat: 1. ve 2. Çekim Grubu","Kişisel Özellikler / Nitelikler",952
"initium -ī n.:",başlangıç,"İsim: 2. Çekim Grubu",Zaman,865
"iniūria -ae f.:","haksızlık, hata, tahkir","İsim: 1. Çekim Grubu",Adalet,381
"inquam, inquis, inquit, inquiunt:","söylemek (dolaysız anlatımda)","Fiil: Düzensiz","Konuşma / Retorik",163
"īnstituō -stituere -stituī -stitūtum:","üstlenmek; tanzim etmek","Fiil: 3. Çekim Grubu, -ō bitimli","Yapma / Etme",931
"īnsula -ae f.:",ada,"İsim: 1. Çekim Grubu",Coğrafya,908
"integer -gra -grum:","bozulmamış, taze, tüm, bütün","Sıfat: 1. ve 2. Çekim Grubu","Kişisel Özellikler / Nitelikler",815
"intellegō -legere -lēxī -lēctum:",anlamak,"Fiil: 3. Çekim Grubu, -ō bitimli","Eğitim / Bilgi",512
"intendō -tendere -tendī -tentum:","germek, yaymak","Fiil: 3. Çekim Grubu, -ō bitimli",Hareket,895
inter,"arasında, aralarında; esnasında (+ acc.)",Edat,Yer,64
"interficiō -ficere -fēcī -fectum",öldürmek,"Fiil: 3. Çekim Grubu, -iō bitimli",Şiddet,699
interim,"bu arada",Zarf,Zaman,693
"interrogō -āre","bir sorunu ortaya koymak, sorgulamak (+ acc.)","Fiil: 1. Çekim Grubu","Konuşma / Retorik",953
"intersum -esse -fuī","arasında olmak; yer almak, katılmak (+dat.); ilgilenmek, -in ilgisi olmak (+ gen.)","Fiil: Düzensiz",Yer,760
intrā,"dahilinde (+ acc.)",Edat,Yer,704
"intrō -āre",girmek,"Fiil: 1. Çekim Grubu",Hareket,766
"inveniō -venīre -vēnī -ventum","bulmak; keşfetmek","Fiil: 4. Çekim Grubu",Seyahat,316
"invidia -ae f.","haset, kıskançlık, garaz","İsim: 1. Çekim Grubu",Duygular,707
"ipse ipsa ipsum","o (adam, kadın, şey)",Zamir,"Zamir / Soru Zamiri",22
"īra irae f.","gazap, öfke","İsim: 1. Çekim Grubu",Duygular,187
"īrāscor īrāscī īrātus sum","öfkelenmek; īrātus -a -um: öfkeli","Fiil: Deponens [etken anlamlı edilgen yapılı]",Duygular,809
"is ea id","o adam, o kadın, o şey",Zamir,"Zamir / Soru Zamiri",13
"iste ista istud","şu; (zarf.) istīc / istūc: o konumda; istinc: o konumdan",Zamir,"Zamir / Soru Zamiri",81
ita,"böyle, yani",Zarf,"Bağlaç / Zarf",120
itaque,"bu yüzden, böylece",Bağlaç,"Bağlaç / Zarf",208
item,"aynı şekilde",Zarf,"Bağlaç / Zarf",932
"iter itineris n.","yolculuk, rota","İsim: 3. Çekim Grubu",Seyahat,230
iterum,yine,Zarf,Zaman,758
"iubeō iubēre iussī iussum","buyurmak, emretmek","Fiil: 2. Çekim Grubu",Adalet,84
"iūdex iūdicis m.","yargıç, juri heyeti","İsim: 3. Çekim Grubu",Adalet,839
"iūdicium -ī n.","yargı, karar, duruşma","İsim: 2. Çekim Grubu",Adalet,749
"iūdicō -āre","yargılamak, karar vermek","Fiil: 1. Çekim Grubu",Adalet,565
"iugum -ī n.","boyunduruk; tasma, sıra dağlar","İsim: 2. Çekim Grubu","Hayvanlar / Bitkiler",335
"iungō iungere iūnxī iūnctum",birleştirmek,"Fiil: 3. Çekim Grubu, -ō bitimli","Yapma / Etme",513
"iūrō -āre","ant içmek, yemin etmek; iūs iūrandum, yemin","Fiil: 1. Çekim Grubu",Adalet,896
"iūs iūris n.","hak, adalet, hukuk","İsim: 3. Çekim Grubu",Adalet,314
"iūstus -a -um","doğru, haklı, adil","Sıfat: 1. ve 2. Çekim Grubu",Adalet,770
"iuvenis -is m.",genç,"İsim: 3. Çekim Grubu",İnsanlar,277
"iuvō iuvāre iūvī iūtum","yardım etmek, yararlı olmak; hoşnut etmek, sevindirmek","Fiil: 1. Çekim Grubu","Sosyal Yaşam",390
"labor -ōris m.","gayret, emek","İsim: 3. Çekim Grubu","İş / Para",201
"labōrō -āre","çalışmak, zahmet çekmek; üzülmek veya kederli olmak","Fiil: 1. Çekim Grubu","İş / Para",900
"lacrima -ae f.",gözyaşı,"İsim: 1. Çekim Grubu",Duygular,354
"laedō laedere laesī laesum","vurarak incitmek, yaralamak","Fiil: 3. Çekim Grubu, -ō bitimli",Şiddet,783
"laetus -a -um","hoşnut, neşeli","Sıfat: 1. ve 2. Çekim Grubu",Duygular,262
"lapis lapidis m.",taş,"İsim: 3. Çekim Grubu","Toprak ve Su",840
"lateō latēre latuī","pusuya yatmak, gizlenmek","Fiil: 2. Çekim Grubu",Kandırma,695
"latus -eris n.","yan, kanat","İsim: 3. Çekim Grubu",Beden,382
"lātus -a -um","geniş, engin","Sıfat: 1. ve 2. Çekim Grubu",Ölçüm,824
"laudō -āre",övmek,"Fiil: 1. Çekim Grubu","Sosyal Yaşam",435
"laus laudis f.","övgü, şan","İsim: 3. Çekim Grubu","Sosyal Yaşam",444
"lēgātus -ī m.","teğmen, elçi","İsim: 2. Çekim Grubu","Savaş ve Barış",464
"legiō -ōnis f.",lejyon,"İsim: 3. Çekim Grubu","Savaş ve Barış",370
"legō legere lēgī lēctum","toplamak, seçmek, okumak","Fiil: 3. Çekim Grubu, -ō bitimli","Yazı / Şiir",419
"levis -e","hafif, önemsiz","Sıfat: 3. Çekim Grubu",Ölçüm,220
"lēx lēgis f.",yasa,"İsim: 3. Çekim Grubu",Adalet,264
"liber librī m.",kitap,"İsim: 2. Çekim Grubu","Yazı / Şiir",901
"līber lībera līberum","özgür adam; līberī (m. pl.): hür doğmuş çocuklar","Sıfat: 1. ve 2. Çekim Grubu",Adalet,229
"lībertās -ātis f.",özgürlük,"İsim: 3. Çekim Grubu",Kent,495
"libet libēre libuit or libitum est","hoşa gider (+ dat. + infin.)","Fiil: Şahıssız","Sosyal Yaşam",729
"libīdō -inis f.","arzu, istek","İsim: 3. Çekim Grubu",Aşk,761
"licet licēre licuit licitum est","izin verilir (+ dat. + infin.)","Fiil: Şahıssız",Adalet,175
licet,"her ne kadar",Bağlaç,Adalet,778
"līmen līminis n.",eşik,"İsim: 3. Çekim Grubu","Ev / Hane",516
"lingua -ae f.","dil; lisan","İsim: 1. Çekim Grubu",Beden,732
"littera -ae f.","harf, (pl.) edebiyat","İsim: 1. Çekim Grubu","Yazı / Şiir",710
"lītus -oris n.",kıyı,"İsim: 3. Çekim Grubu",Coğrafya,245
"locus -ī m.","yer; loca (n. pl.) bölge","İsim: 2. Çekim Grubu",Coğrafya,62
longē,"uzak, çok uzak",Zarf,Ölçüm,400
"longus -a -um","uzun, engin","Sıfat: 1. ve 2. Çekim Grubu",Ölçüm,142
"loquor loquī locūtus sum","konuşmak, söylemek","Fiil: Deponens [etken anlamlı edilgen yapılı]","Konuşma / Retorik",310
"lūmen luminis n.",ışık,"İsim: 3. Çekim Grubu","Görü / Görüntü",375
"lūna -ae f.",ay,"İsim: 1. Çekim Grubu","Hava ve Ateş",902
"lūx lūcis f.","gün ışığı","İsim: 3. Çekim Grubu","Hava ve Ateş",299
"maestus -a -um","kederli, üzgün; üzücü","Sıfat: 1. ve 2. Çekim Grubu",Duygular,669
magis,daha,Zarf,"Bağlaç / Zarf",90
"magister magistrī m.","efendi, şef","İsim: 2. Çekim Grubu","Eğitim / Bilgi",933
"māgnitūdō -inis f.","büyüklük, hacim","İsim: 3. Çekim Grubu",Ölçüm,672
"māgnus -a -um",büyük,"Sıfat: 1. ve 2. Çekim Grubu",Ölçüm,25
"māiōrēs māiōrum m.",atalar,"İsim: 3. Çekim Grubu",Hane,764
male,"(zarf) kötü bir şekilde",Zarf,"Kişisel Özellikler / Nitelikler",603
"mālō mālle māluī","tercih etmek","Fiil: Düzensiz",Duygular,598
"malus -a -um","kötü, fena","Sıfat: 1. ve 2. Çekim Grubu","Kişisel Özellikler / Nitelikler",227
"maneō manēre mānsī mānsum",kalmak,"Fiil: 2. Çekim Grubu",Seyahat,357
"manus -ūs f.","el; bir grup adam","İsim: 4. Çekim Grubu",Beden,48
"mare -is n.",deniz,"İsim: 3. Çekim Grubu","Toprak ve Su",125
"marītus -ī m.",koca,"İsim: 2. Çekim Grubu",Hane,654
"māter mātris f.",anne,"İsim: 3. Çekim Grubu",Hane,127
"māteria -ae f.","madde, cevher, cisim; kereste; malzeme","İsim: 1. Çekim Grubu","Konuşma / Retorik",857
"medius -a -um","orta, merkez","Sıfat: 1. ve 2. Çekim Grubu",Yer,162
"membrum -ī n.","organ, bedenin uzvu","İsim: 2. Çekim Grubu",Beden,481
"meminī meminisse","hatırlamak, anımsamak","Fiil: Düzensiz","Eğitim / Bilgi",670
"memoria -ae f.","bellek, anı","İsim: 1. Çekim Grubu","Eğitim / Bilgi",627
"mēns mentis f.",akıl,"İsim: 3. Çekim Grubu",Beden,173
"mēnsa -ae f.",masa,"İsim: 1. Çekim Grubu","Ev / Hane",747
"mereō merēre meruī meritum","layık olmak, hak etmek; asker olarak hizmet vermek","Fiil: 2. Çekim Grubu","İş / Para",852
"metuō metuere metuī","korkmak, endişe etmek","Fiil: 3. Çekim Grubu, -ō bitimli",Duygular,429
"metus -ūs m.","korku, endişe","İsim: 4. Çekim Grubu",Duygular,215
"meus -a -um",benim,Zamir,"Zamir / Soru Zamiri",41
"mīles -itis m.",asker,"İsim: 3. Çekim Grubu","Savaş ve Barış",161
"mīlle (pl.) mīlia",bin,"Sıfat: Sayı",Ölçüm,247
"mīror mīrārī mīrātus sum","şaşırmak, hayret etmek (+ acc.)","Fiil: Deponens [etken anlamlı edilgen yapılı]",Duygular,504
"misceō miscēre miscuī mixtum",karıştırmak,"Fiil: 2. Çekim Grubu","Toprak ve Su",425
"miser misera miserum","sefil, perişan","Sıfat: 1. ve 2. Çekim Grubu",Duygular,137
"mittō mittere mīsī missum","göndermek, salıvermek","Fiil: 3. Çekim Grubu, -ō bitimli","Teşvik Edici / Emredici Fiiller",114
modo,"hemen şimdi, biraz önce; modo ... modo: şimdi … şimdi de, bir an … diğer an …, bazen … bazen …",Zarf,Zaman,152
"modus -ī m.","tarz, biçim, usul","İsim: 2. Çekim Grubu",Ölçüm,195
"moenia -ium n. pl.","surlar; istihkâm","İsim: 3. Çekim Grubu",Kent,593
"mollis -e","yumuşak, esnek, nazik","Sıfat: 3. Çekim Grubu","Diğer Duyular",356
"moneō monēre monuī monitum","uyarmak, tavsiye etmek","Fiil: 2. Çekim Grubu","Konuşma / Retorik",711
"mōns montis m.",dağ,"İsim: 3. Çekim Grubu",Coğrafya,242
"mora -ae f.","gecikme, sekte","İsim: 1. Çekim Grubu",Zaman,399
"morbus -ī m.","hastalık, rahatsızlık","İsim: 2. Çekim Grubu",Beden,658
"morior morī mortuus sum",ölmek,"Fiil: Deponens [etken anlamlı edilgen yapılı]","Yaşam ve Varlık",253
"moror morārī morātus sum",gecikmek,"Fiil: Deponens [etken anlamlı edilgen yapılı]",Zaman,581
"mors mortis f.",ölüm,"İsim: 3. Çekim Grubu","Yaşam ve Varlık",95
"mortālis -e","ölüme tabi, ölümlü;(er.) fani","Sıfat: 3. Çekim Grubu","Yaşam ve Varlık",950
"mōs mōris m.","tabiat, mizaç; (pl.) karakter","İsim: 3. Çekim Grubu","Sosyal Yaşam",181
"moveō -ēre mōvī mōtum","hareket ettirmek","Fiil: 2. Çekim Grubu",Hareket,192
mox,yakında,Zarf,Zaman,469
"mulier -eris f.",kadın,"İsim: 3. Çekim Grubu",İnsanlar,961
